date,iso_alpha_3,administrative_area_level_1,administrative_area_level_2,administrative_area_level_3,tests,confirmed,deaths,recovered,population,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,stringency_index
2021-03-21,CHN,China,,,,102539,4849,,1392730000,1.0,1.0,1.0,-4.0,0.0,1.0,1.0,3.0,2.0,3.0,2.0,51.39
2021-03-22,CHN,China,,,,102566,4849,,1392730000,1.0,1.0,1.0,-4.0,0.0,1.0,1.0,3.0,2.0,3.0,2.0,51.39
2021-03-23,CHN,China,,,,102589,4849,,1392730000,1.0,1.0,1.0,-4.0,0.0,1.0,1.0,3.0,2.0,3.0,2.0,51.39
2021-03-24,CHN,China,,,,102612,4850,,1392730000,1.0,1.0,1.0,-4.0,0.0,1.0,1.0,3.0,2.0,3.0,2.0,51.39
2021-03-25,CHN,China,,,,102635,4850,,1392730000,1.0,1.0,1.0,-4.0,0.0,1.0,1.0,3.0,2.0,3.0,2.0,51.39
2021-03-26,CHN,China,,,,102659,4850,,1392730000,1.0,1.0,1.0,-4.0,0.0,1.0,1.0,3.0,2.0,3.0,2.0,51.39
2021-03-27,CHN,China,,,,102680,4851,,1392730000,1.0,1.0,1.0,-4.0,0.0,1.0,1.0,3.0,2.0,3.0,2.0,51.39
2021-03-28,CHN,China,,,,102698,4851,,1392730000,1.0,1.0,1.0,-4.0,0.0,1.0,1.0,3.0,2.0,3.0,2.0,51.39
2021-03-29,CHN,China,,,,102715,4851,,1392730000,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,2.0,3.0,2.0,44.44
2021-03-30,CHN,China,,,,102734,4851,,1392730000,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,2.0,3.0,2.0,44.44
2021-03-31,CHN,China,,,,102762,4851,,1392730000,-3.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,2.0,3.0,2.0,50.0
2021-04-01,CHN,China,,,,102790,4851,,1392730000,-3.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,2.0,3.0,2.0,50.0
2021-04-02,CHN,China,,,,102838,4851,,1392730000,-3.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,2.0,3.0,2.0,50.0
2021-04-03,CHN,China,,,,102867,4851,,1392730000,-3.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,2.0,3.0,2.0,50.0
2021-04-04,CHN,China,,,,102908,4851,,1392730000,-3.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,2.0,3.0,2.0,50.0
2021-04-05,CHN,China,,,,102949,4851,,1392730000,-3.0,-2.0,-2.0,-4.0,-2.0,-3.0,-2.0,3.0,2.0,3.0,2.0,78.24
2021-04-06,CHN,China,,,,102970,4851,,1392730000,-3.0,-2.0,-2.0,-4.0,-2.0,-3.0,-2.0,3.0,2.0,3.0,2.0,78.24
2021-04-07,CHN,China,,,,103003,4851,,1392730000,-3.0,-2.0,-2.0,-4.0,-2.0,-3.0,-2.0,3.0,2.0,3.0,2.0,78.24
2021-04-08,CHN,China,,,,103034,4851,,1392730000,-3.0,-2.0,-2.0,-4.0,-2.0,-3.0,-2.0,3.0,2.0,3.0,2.0,78.24
2021-04-09,CHN,China,,,,103066,4851,,1392730000,-3.0,-2.0,-2.0,-4.0,-2.0,-3.0,-2.0,3.0,2.0,3.0,2.0,78.24
2021-04-10,CHN,China,,,,103083,4853,,1392730000,-3.0,-2.0,-2.0,-4.0,-2.0,-3.0,-2.0,3.0,2.0,3.0,2.0,78.24
2021-04-11,CHN,China,,,,103113,4853,,1392730000,-3.0,-2.0,-2.0,-4.0,-2.0,-3.0,-2.0,3.0,2.0,3.0,2.0,78.24
